Date,WinLoss,Open
5/21/2020,-62,
5/22/2020,-62,
5/23/2020,-62,
5/24/2020,-60,
5/25/2020,-60,
5/26/2020,-60,
5/27/2020,-60,
5/28/2020,-58,
5/29/2020,-58,
5/30/2020,-58,
5/31/2020,-57,
6/1/2020,-56,
6/2/2020,-57,
6/3/2020,-56,
6/4/2020,-55,
6/5/2020,-55,
6/6/2020,-55,
6/7/2020,-55,
6/8/2020,-55,
6/9/2020,-55,
6/10/2020,-55,
6/11/2020,-55,
6/12/2020,-55,
6/13/2020,-53,
6/14/2020,-53,
6/15/2020,-53,
6/16/2020,-54,
6/17/2020,-53,
6/18/2020,-52,
6/19/2020,-53,
6/20/2020,-53,
6/21/2020,-53,
6/22/2020,-53,
6/23/2020,-51,
6/24/2020,-52,
6/25/2020,-51,
6/26/2020,-50,
6/27/2020,-49,
6/28/2020,-49,
6/29/2020,-49,
6/30/2020,-49,
7/1/2020,-49,
7/2/2020,-48,
7/3/2020,-49,
7/4/2020,-48,
7/5/2020,-49,
7/6/2020,-49,
7/7/2020,-49,
7/8/2020,-49,
7/9/2020,-49,
7/10/2020,-48,
7/11/2020,-49,
7/12/2020,-48,
7/13/2020,-47,
7/14/2020,-46,
7/15/2020,-46,
7/16/2020,-46,
7/17/2020,-44,
7/18/2020,-44,
7/19/2020,-44,
7/20/2020,-44,
7/21/2020,-42,
7/22/2020,-42,
7/23/2020,-41,
7/24/2020,-39,
7/25/2020,-40,
7/26/2020,-39,
7/27/2020,-39,
7/28/2020,-37,
7/29/2020,-36,
7/30/2020,-35,
7/31/2020,-36,
8/1/2020,-36,
8/2/2020,-36,
8/3/2020,-34,
8/4/2020,-36,
8/5/2020,-38,
8/6/2020,-40,
8/7/2020,-42,
8/8/2020,-41,
8/9/2020,-40,
8/10/2020,-41,
8/11/2020,-41,
8/12/2020,-37,
8/13/2020,-35,
8/14/2020,-34,
8/15/2020,-32,
8/16/2020,-29,
8/17/2020,-27,
8/18/2020,-28,
8/19/2020,-28,
8/20/2020,-28,
8/21/2020,-28,
8/22/2020,-27,
8/23/2020,-28,
8/24/2020,-27,
8/25/2020,-27,
8/26/2020,-27,
8/27/2020,-27,
8/28/2020,-29,
8/29/2020,-28,
8/30/2020,-27,
8/31/2020,-29,
9/1/2020,-29,
9/2/2020,-30,
9/3/2020,-31,
9/4/2020,-31,
9/5/2020,-29,
9/6/2020,-29,
9/7/2020,-31,
9/8/2020,-33,
9/9/2020,-32,
9/10/2020,-33,
9/11/2020,-30,
9/12/2020,-30,
9/13/2020,-32,
9/14/2020,-32,
9/15/2020,-30,
9/16/2020,-28,
9/17/2020,-28,
9/18/2020,-28,
9/19/2020,-27,
9/20/2020,-29,
9/21/2020,-31,
9/22/2020,-29,
9/23/2020,-31,
9/24/2020,-31,
9/25/2020,-32,
9/26/2020,-32,
9/27/2020,-34,
9/28/2020,-34,
9/29/2020,-33,
9/30/2020,-32,
10/1/2020,-32,
10/2/2020,-32,
10/3/2020,-32,
10/4/2020,-32,
10/5/2020,-31,
10/6/2020,-32,
10/7/2020,-33,
10/8/2020,-32,
10/9/2020,-33,
10/10/2020,-33,
10/11/2020,-33,
10/12/2020,-33,
10/13/2020,-33,
10/14/2020,-33,
10/15/2020,-33,
10/16/2020,-33,
10/17/2020,-33,
10/18/2020,-33,
10/19/2020,-33,
10/20/2020,-33,
10/21/2020,-33,
10/22/2020,-33,
10/23/2020,-33,
10/24/2020,-33,
10/25/2020,-33,
10/26/2020,-33,
10/27/2020,-33,
10/28/2020,-33,
10/29/2020,-33,
10/30/2020,-33,
10/31/2020,-33,
11/1/2020,-33,
11/2/2020,-33,
11/3/2020,-33,
11/4/2020,-33,
11/5/2020,-33,
11/6/2020,-33,
11/7/2020,-33,
11/8/2020,-33,
11/9/2020,-33,
11/10/2020,-33,
11/11/2020,-33,
11/12/2020,-33,
11/13/2020,-33,
11/14/2020,-33,
11/15/2020,-33,
11/16/2020,-33,
