Date,WinLoss,Open
6/6/2020,10,
6/7/2020,10,
6/8/2020,10,
6/9/2020,10,
6/10/2020,10,
6/11/2020,10,
6/12/2020,10,
6/13/2020,12,
6/14/2020,10,
6/15/2020,10,
6/16/2020,9,
6/17/2020,11,
6/18/2020,11,
6/19/2020,9,
6/20/2020,10,
6/21/2020,10,
6/22/2020,10,
6/23/2020,12,
6/24/2020,9,
6/25/2020,11,
6/26/2020,11,
6/27/2020,11,
6/28/2020,10,
6/29/2020,10,
6/30/2020,10,
7/1/2020,10,
7/2/2020,11,
7/3/2020,9,
7/4/2020,11,
7/5/2020,9,
7/6/2020,10,
7/7/2020,10,
7/8/2020,10,
7/9/2020,10,
7/10/2020,11,
7/11/2020,9,
7/12/2020,11,
7/13/2020,11,
7/14/2020,11,
7/15/2020,10,
7/16/2020,10,
7/17/2020,12,
7/18/2020,10,
7/19/2020,10,
7/20/2020,10,
7/21/2020,12,
7/22/2020,10,
7/23/2020,11,
7/24/2020,12,
7/25/2020,9,
7/26/2020,11,
7/27/2020,10,
7/28/2020,12,
7/29/2020,11,
7/30/2020,11,
7/31/2020,9,
8/1/2020,10,
8/2/2020,10,
8/3/2020,12,
8/4/2020,8,
8/5/2020,8,
8/6/2020,8,
8/7/2020,8,
8/8/2020,11,
8/9/2020,11,
8/10/2020,9,
8/11/2020,10,
8/12/2020,14,
8/13/2020,12,
8/14/2020,11,
8/15/2020,12,
8/16/2020,13,
8/17/2020,12,
8/18/2020,9,
8/19/2020,10,
8/20/2020,10,
8/21/2020,10,
8/22/2020,11,
8/23/2020,9,
8/24/2020,11,
8/25/2020,10,
8/26/2020,10,
8/27/2020,10,
8/28/2020,8,
8/29/2020,11,
8/30/2020,11,
8/31/2020,8,
9/1/2020,10,
9/2/2020,9,
9/3/2020,9,
9/4/2020,10,
9/5/2020,12,
9/6/2020,10,
9/7/2020,8,
9/8/2020,8,
9/9/2020,11,
9/10/2020,9,
9/11/2020,13,
9/12/2020,10,
9/13/2020,8,
9/14/2020,10,
9/15/2020,12,
9/16/2020,12,
9/17/2020,10,
9/18/2020,10,
9/19/2020,11,
9/20/2020,8,
9/21/2020,8,
9/22/2020,12,
9/23/2020,8,
9/24/2020,10,
9/25/2020,9,
9/26/2020,10,
9/27/2020,8,
9/28/2020,10,
9/29/2020,11,
9/30/2020,11,
10/1/2020,10,
10/2/2020,10,
10/3/2020,10,
10/4/2020,10,
10/5/2020,11,
10/6/2020,9,
10/7/2020,9,
10/8/2020,11,
10/9/2020,9,
10/10/2020,10,
10/11/2020,10,
10/12/2020,10,
10/13/2020,10,
10/14/2020,10,
10/15/2020,10,
10/16/2020,10,
10/17/2020,10,
10/18/2020,10,
10/19/2020,10,
10/20/2020,10,
10/21/2020,10,
10/22/2020,10,
10/23/2020,10,
10/24/2020,10,
10/25/2020,10,
10/26/2020,10,
10/27/2020,10,
10/28/2020,10,
10/29/2020,10,
10/30/2020,10,
10/31/2020,10,
11/1/2020,10,
11/2/2020,10,
11/3/2020,10,
11/4/2020,10,
11/5/2020,10,
11/6/2020,10,
11/7/2020,10,
11/8/2020,10,
11/9/2020,10,
11/10/2020,10,
11/11/2020,10,
11/12/2020,10,
11/13/2020,10,
11/14/2020,10,
11/15/2020,10,
11/16/2020,10,
11/17/2020,10,
11/18/2020,10,
11/19/2020,10,
11/20/2020,10,
11/21/2020,10,
11/22/2020,10,
11/23/2020,10,
11/24/2020,10,
11/25/2020,10,
11/26/2020,10,
11/27/2020,10,
11/28/2020,10,
11/29/2020,10,
11/30/2020,10,
12/1/2020,10,
12/2/2020,10,
12/3/2020,10,
12/4/2020,10,
12/5/2020,10,
12/6/2020,10,
12/7/2020,10,
12/8/2020,10,
12/9/2020,10,
12/10/2020,10,
12/11/2020,10,
12/12/2020,10,
12/13/2020,8,
12/14/2020,10,
12/15/2020,10,
12/16/2020,10,
12/17/2020,9,
12/18/2020,10,
12/19/2020,10,
12/20/2020,9,
12/21/2020,10,
12/22/2020,10,
12/23/2020,10,
12/24/2020,10,
12/25/2020,10,
12/26/2020,10,
12/27/2020,8,
12/28/2020,10,
12/29/2020,10,
12/30/2020,10,
12/31/2020,10,
1/1/2021,10,
1/2/2021,10,
1/3/2021,12,
1/4/2021,10,
1/5/2021,10,
1/6/2021,10,
1/7/2021,10,
1/8/2021,10,
1/9/2021,10,
